timestamp,CO2,Methane,assetno
7808400000,53.8,0.109,A1
7808940000,53.6,0.0,A1
7809480000,53.5,0.17800000000000002,A1
7810020000,53.5,0.33899999999999997,A1
7810560000,53.4,0.373,A1
7811100000,53.1,0.441,A1
7811640000,52.7,0.461,A1
7812180000,52.4,0.348,A1
7812720000,52.2,0.127,A1
7813260000,52.0,0.18,A1
7813800000,52.0,0.588,A1
7814340000,52.4,1.055,A1
7814880000,53.0,1.421,A1
7815420000,54.0,1.52,A1
7815960000,54.9,1.3019999999999998,A1
7816500000,56.0,0.8140000000000001,A1
7817040000,56.8,0.475,A1
7817580000,56.8,0.193,A1
7818120000,56.4,0.08800000000000001,A1
7818660000,55.7,0.435,A1
7819200000,55.0,0.7709999999999999,A1
7819740000,54.3,0.866,A1
7820280000,53.2,0.875,A1
7820820000,52.3,0.8909999999999999,A1
7821360000,51.6,0.987,A1
7821900000,51.2,1.263,A1
7822440000,50.8,1.775,A1
7822980000,50.5,1.976,A1
7823520000,50.0,1.9340000000000002,A1
7824060000,49.2,1.8659999999999999,A1
7824600000,48.4,1.8319999999999999,A1
7825140000,47.9,1.767,A1
7825680000,47.6,1.608,A1
7826220000,47.5,1.265,A1
7826760000,47.5,0.79,A1
7827300000,47.6,0.36,A1
7827840000,48.1,0.115,A1
7828380000,49.0,0.08800000000000001,A1
7828920000,50.0,0.331,A1
7829460000,51.1,0.645,A1
7830000000,51.8,0.96,A1
7830540000,51.9,1.409,A1
7831080000,51.7,2.67,A1
7831620000,51.2,2.8339999999999996,A1
7832160000,50.0,2.812,A1
7832700000,48.3,2.483,A1
7833240000,47.0,1.929,A1
7833780000,45.8,1.485,A1
7834320000,45.6,1.214,A1
7834860000,46.0,1.239,A1
7835400000,46.9,1.608,A1
7835940000,47.8,1.905,A1
7836480000,48.2,2.023,A1
7837020000,48.3,1.815,A1
7837560000,47.9,0.535,A1
7838100000,47.2,0.122,A1
7838640000,47.2,0.009000000000000001,A1
7839180000,48.1,0.16399999999999998,A1
7839720000,49.4,0.6709999999999999,A1
7840260000,50.6,1.0190000000000001,A1
7840800000,51.5,1.146,A1
7841340000,51.6,1.155,A1
7841880000,51.2,1.112,A1
7842420000,50.5,1.121,A1
7842960000,50.1,1.2229999999999999,A1
7843500000,49.8,1.2570000000000001,A1
7844040000,49.6,1.157,A1
7844580000,49.4,0.9129999999999999,A1
7845120000,49.3,0.62,A1
7845660000,49.2,0.255,A1
7846200000,49.3,0.28,A1
7846740000,49.7,1.08,A1
7847280000,50.3,1.551,A1
7847820000,51.3,1.7990000000000002,A1
7848360000,52.8,1.825,A1
7848900000,54.4,1.456,A1
7849440000,56.0,0.9440000000000001,A1
7849980000,56.9,0.57,A1
7850520000,57.5,0.431,A1
7851060000,57.3,0.5770000000000001,A1
7851600000,56.6,0.96,A1
7852140000,56.0,1.6159999999999999,A1
7852680000,55.4,1.875,A1
7853220000,55.4,1.891,A1
7853760000,56.4,1.746,A1
7854300000,57.2,1.474,A1
7854840000,58.0,1.2009999999999998,A1
7855380000,58.4,0.927,A1
7855920000,58.4,0.524,A1
7856460000,58.1,0.04,A1
7857000000,57.7,0.7879999999999999,A1
7857540000,57.0,0.943,A1
7858080000,56.0,0.93,A1
7858620000,54.7,1.006,A1
7859160000,53.2,1.137,A1
7859700000,52.1,1.198,A1
7860240000,51.6,1.054,A1
7860780000,51.0,0.595,A1
7861320000,50.5,0.08,A1
7861860000,50.4,0.314,A1
7862400000,51.0,0.28800000000000003,A1
7862940000,51.8,0.153,A1
7863480000,52.4,0.109,A1
7864020000,53.0,0.187,A1
7864560000,53.4,0.255,A1
7865100000,53.6,0.22899999999999998,A1
7865640000,53.7,0.006999999999999999,A1
7866180000,53.8,0.254,A1
7866720000,53.8,0.33,A1
7867260000,53.8,0.102,A1
7867800000,53.3,0.423,A1
7868340000,53.0,1.139,A1
7868880000,52.9,2.275,A1
7869420000,53.4,2.594,A1
7869960000,54.6,2.716,A1
7870500000,56.4,2.51,A1
7871040000,58.0,1.79,A1
7871580000,59.4,1.3459999999999999,A1
7872120000,60.2,1.081,A1
7872660000,60.0,0.91,A1
7873200000,59.4,0.8759999999999999,A1
7873740000,58.4,0.885,A1
7874280000,57.6,0.8,A1
7874820000,56.9,0.544,A1
7875360000,56.4,0.41600000000000004,A1
7875900000,56.0,0.271,A1
7876440000,55.7,0.0,A1
7876980000,55.3,0.40299999999999997,A1
7877520000,55.0,0.841,A1
7878060000,54.4,1.285,A1
7878600000,53.7,1.607,A1
7879140000,52.8,1.746,A1
7879680000,51.6,1.683,A1
7880220000,50.6,1.485,A1
7880760000,49.4,0.993,A1
7881300000,48.8,0.648,A1
7881840000,48.5,0.5770000000000001,A1
